Fecha	T.ida	T.vuelta
20240112	37000	27201
20240112	27201	27101
20240112	27101	27106
20240112	27106	27206
20240112	27206	21629
20240112	21629	32949
20240112	32949	21028
20240112	21028	21640
20240112	21640	27233
20240112	27233	27133
20240112	27133	27132
20240112	27132	27232
20240112	27232	21673
20240112	21673	32969
20240112	32969	
20240112	37000	27201
20240112	27201	27101
20240112	27101	27106
20240112	27106	27206
20240112	27206	21629
20240112	21629	32949
20240112	32949	21028
20240112	21028	21640
20240112	21640	27233
20240112	27233	27133
20240112	27133	27132
20240112	27132	27232
20240112	27232	21673
20240112	21673	32969
20240112	32969	
20240112	21401	21702
20240112	21702	21805
20240112	21805	37092
20240112	37092	
20240112	21401	21702
20240112	21702	21805
20240112	21805	37092
20240112	37092	
20240112	21409	32937
20240112	32937	21018
20240112	21018	39166
20240112	39166	
20240112	21409	32937
20240112	32937	21018
20240112	21018	39166
20240112	39166	
20240112	37074	21404
20240112	21404	21715
20240112	21715	27815
20240112	27815	27925
20240112	27925	21724
20240112	21724	35059
20240112	35059	21514
20240112	21514	21745
20240112	21745	27845
20240112	27845	27955
20240112	27955	21754
20240112	21754	35085
20240112	35085	21446
20240112	21446	21461
20240112	21461	
20240112	37074	21404
20240112	21404	21715
20240112	21715	27815
20240112	27815	27925
20240112	27925	21724
20240112	21724	35059
20240112	35059	21514
20240112	21514	21745
20240112	21745	27845
20240112	27845	27955
20240112	27955	21754
20240112	21754	35085
20240112	35085	21446
20240112	21446	21461
20240112	21461	
20240112	32938	21624
20240112	21624	27217
20240112	27217	27117
20240112	27117	27118
20240112	27118	27218
20240112	27218	21647
20240112	21647	21041
20240112	21041	21040
20240112	21040	21668
20240112	21668	27247
20240112	27247	27147
20240112	27147	
20240112	32938	21624
20240112	21624	27217
20240112	27217	27117
20240112	27117	27118
20240112	27118	27218
20240112	27218	21647
20240112	21647	21041
20240112	21041	21040
20240112	21040	21668
20240112	21668	27247
20240112	27247	27147
20240112	27147	
20240112	27203	27103
20240112	27103	27108
20240112	27108	27208
20240112	27208	27219
20240112	27219	27119
20240112	27119	27120
20240112	27120	27220
20240112	27220	21651
20240112	21651	21045
20240112	21045	32946
20240112	32946	27234
20240112	27234	27249
20240112	27249	27149
20240112	27149	
20240112	27203	27103
20240112	27103	27108
20240112	27108	27208
20240112	27208	27219
20240112	27219	27119
20240112	27119	27120
20240112	27120	27220
20240112	27220	21651
20240112	21651	21045
20240112	21045	32946
20240112	32946	27234
20240112	27234	27249
20240112	27249	27149
20240112	27149	
20240112	37002	21603
20240112	21603	32935
20240112	32935	32940
20240112	32940	21626
20240112	21626	32083
20240112	32083	21420
20240112	21420	21735
20240112	21735	27835
20240112	27835	27945
20240112	27945	21744
20240112	21744	35077
20240112	35077	21524
20240112	21524	21765
20240112	21765	27865
20240112	27865	27975
20240112	27975	
20240112	37002	21603
20240112	21603	32935
20240112	32935	32940
20240112	32940	21626
20240112	21626	32083
20240112	32083	21420
20240112	21420	21735
20240112	21735	27835
20240112	27835	27945
20240112	27945	21744
20240112	21744	35077
20240112	35077	21524
20240112	21524	21765
20240112	21765	27865
20240112	27865	27975
20240112	27975	
20240112	27205	27105
20240112	27105	27110
20240112	27110	27210
20240112	27210	21631
20240112	21631	21027
20240112	21027	21030
20240112	21030	21646
20240112	21646	27235
20240112	27235	27135
20240112	27135	27136
20240112	27136	27236
20240112	27236	21675
20240112	21675	21069
20240112	21069	37082
20240112	37082	
20240112	27205	27105
20240112	27105	27110
20240112	27110	27210
20240112	27210	21631
20240112	21631	21027
20240112	21027	21030
20240112	21030	21646
20240112	21646	27235
20240112	27235	27135
20240112	27135	27136
20240112	27136	27236
20240112	27236	21675
20240112	21675	21069
20240112	21069	37082
20240112	37082	
20240112	21600	21611
20240112	21611	21015
20240112	21015	21020
20240112	21020	21630
20240112	21630	27221
20240112	27221	27121
20240112	27121	27122
20240112	27122	27222
20240112	27222	27237
20240112	27237	32959
20240112	32959	32948
