
"Cod  PR","Desc  PR","Cod Delegacion/Gerencia PR","Desc Delegacion/Gerencia PR","Cod Tipo_PR","Desc Tipo_PR","Cod PR Internacional","Flag  PR","Num. PR","Admin Infraestructura","Num. Trenes"
"17000","MADRID-CHAMARTIN-CLARA CAMP.","1","RC CENTRO","E","ESTACION","17000","S","1","AD","8.582"
"71801","BARCELONA-SANTS","5","RC NORESTE","E","ESTACION","71801","S","1","ADA","7.659"
"18000","MADRID-ATOCHA CERCANIAS","1","RC CENTRO","E","ESTACION","18000","S","1","AD","7.607"
"18002","MADRID-NUEVOS MINISTERIOS","1","RC CENTRO","E","ESTACION","18002","S","1","AD","5.359"
"37001","VILLAVERDE ALTO","1","RC CENTRO","E","ESTACION","37001","S","1","AD","3.714"
"72305","L'HOSPITALET DE LLOBREGAT","5","RC NORESTE","E","ESTACION","72305","S","1","AD","3.155"
"78804","ARC DE TRIOMF (APD)","5","RC NORESTE","D","APEADERO","78804","S","1","AD","3.075"
"78805","PLAÇA DE CATALUNYA","5","RC NORESTE","E","ESTACION","78805","S","1","AD","3.075"
"71802","BARNA.-PASSEIG DE GRACIA (APD)","5","RC NORESTE","D","APEADERO","71802","S","1","AD","2.787"
"60100","VILLAVERDE BAJO","1","RC CENTRO","E","ESTACION","60100","S","1","AD","2.693"
"18001","MADRID-RECOLETOS (APD)","1","RC CENTRO","E","ESTACION","18001","S","1","AD","2.647"
"18101","SOL (APD)","1","RC CENTRO","D","APEADERO","18101","S","1","AD","2.581"
"15211","OVIEDO","2","RC NOROESTE","E","ESTACION","15211","S","1","AD","2.529"
"13200","INTERMODAL ABANDO IND. PRIETO","6","RC NORTE","E","ESTACION","13200","S","1","AD","2.484"
"51003","SEVILLA-SANTA JUSTA","3","RC SUR","E","ESTACION","51003","S","1","ADA","2.388"
"78802","FABRA I PUIG","5","RC NORESTE","E","ESTACION","78802","S","1","AD","2.194"
"78800","MONTCADA-BIFURCACIO","5","RC NORESTE","E","ESTACION","78800","S","1","AD","2.178"
