"Subdirección","Código"
"RED DE ALTA VELOCIDAD (RAV)","A0180"
"RC SUR","A0300"
"RC SUR","A0426"
"RC SUR","A0427"
"RED DE ALTA VELOCIDAD (RAV)","A0660"
"RED DE ALTA VELOCIDAD (RAV)","A0720"
"RED DE ALTA VELOCIDAD (RAV)","A0740"
"RED DE ALTA VELOCIDAD (RAV)","A0741"
"RED DE ALTA VELOCIDAD (RAV)","A0742"
"RED DE ALTA VELOCIDAD (RAV)","A0800"
"RED DE ALTA VELOCIDAD (RAV)","A0801"
"RC NORTE","A1112"
"RC NORTE","A1311"
"RC NOROESTE","A2031"
"RC NOROESTE","A2045"
"RC NOROESTE","A2220"
"RC NOROESTE","A2230"
"RC NOROESTE","A2240"
"RC NOROESTE","A2300"
"RC CENTRO","A3500"
"RED DE ALTA VELOCIDAD (RAV)","A3710"
"RC SUR","A5030"
"RC SUR","A5031"
"RC SUR","A5040"
"RC SUR","A5050"
"RC SUR","A5100"
"RC SUR","A5101"
"RC SUR","A5450"
"RC CENTRO","A6001"
"RC CENTRO","A6002"
"RC CENTRO","A6015"
"RC CENTRO","A6031"
"RC ESTE","A6090"
"RC ESTE","A6131"
"RC ESTE","A6141"
"RC ESTE","A6142"
"RC ESTE","A6144"
"RC ESTE","A6210"
"RC NORESTE","A6541"
"RC CENTRO","A7002"
"RC NORESTE","A7060"
"RC NORESTE","A7070"
"RC NORESTE","A7080"
"RC NORESTE","A7081"
"RC NORESTE","A7083"
"RC NORESTE","A7086"
"RC NORESTE","A7087"
"RC NORESTE","A7110"
"RC NORESTE","A7111"
"RC NORESTE","A7141"
"RC NORESTE","A7203"
"RC NORESTE","A7221"
"RC NORESTE","A7222"
"RC NORESTE","A7223"
"RC NORESTE","A7224"
"RC NORESTE","A7225"
"RC NORESTE","A7226"
"RC NORESTE","A7227"
"RC NORESTE","A7228"
"RC NORESTE","A7300"
"RC NORESTE","A7310"
"RC NORESTE","A7400"
"RC NORESTE","A7701"
"RC NORESTE","A7702"
"RC NORESTE","A7830"
"RC NORESTE","A7890"
"RC CENTRO","A9060"
"RC CENTRO","A9101"
"RED DE ALTA VELOCIDAD (RAV)","B0101"
"RC SUR","B0102"
"RC SUR","B0103"
"RED DE ALTA VELOCIDAD (RAV)","B0200"
"RED DE ALTA VELOCIDAD (RAV)","B0740"
"RED DE ALTA VELOCIDAD (RAV)","B0800"
"RC NORTE","B0801"
"RED DE ALTA VELOCIDAD (RAV)","B0802"
"RED DE ALTA VELOCIDAD (RAV)","B0900"
"RED DE ALTA VELOCIDAD (RAV)","B0901"
"RC NOROESTE","B0902"
"RC CENTRO","B1005"
"RC NORTE","B1050"
"RC NORTE","B1051"
"RC NORTE","B1052"
"RC NORTE","B1110"
"RC NORTE","B1111"
"RC NORTE","B1112"
"RC NORTE","B1120"
"RC NORTE","B1320"
"RC NORTE","B1400"
"RC NOROESTE","B1501"
"RC NOROESTE","B1506"
"RC NOROESTE","B1507"
"RC NOROESTE","B1508"
"RC NOROESTE","B1509"
"RC NOROESTE","B1511"
"RC NOROESTE","B1521"
"RC NOROESTE","B1601"
"RC NOROESTE","B1602"
"RC NOROESTE","B1611"
"RC CENTRO","B1702"
"RC CENTRO","B1703"
"RC CENTRO","B1804"
"RC NOROESTE","B2001"
