"Subdirección","Nombre","Código"
"RED DE ALTA VELOCIDAD (RAV)","CTT CERRO NEGRO AV","A0180"
"RC SUR","ESPELUY-AGUJA KM. 150,5","A0300"
"RC SUR","ANTEQUERA-STA.ANA-AGJ.KM.48,3","A0426"
"RC SUR","ANTEQUERA-STA.ANA-AGJ.KM.50,4","A0427"
"RED DE ALTA VELOCIDAD (RAV)","CAN TUNIS-A. V.","A0660"
"RED DE ALTA VELOCIDAD (RAV)","CTT FUENCARRAL AV","A0720"
"RED DE ALTA VELOCIDAD (RAV)","AGUJA BASE OLMEDO KM. 0,954","A0740"
"RED DE ALTA VELOCIDAD (RAV)","AGUJA KM. 3,312","A0741"
"RED DE ALTA VELOCIDAD (RAV)","AGUJA BASE OLMEDO KM. 4,400","A0742"
"RED DE ALTA VELOCIDAD (RAV)","KM. 0.4","A0800"
"RED DE ALTA VELOCIDAD (RAV)","M-CHAMARTIN-AG. KM. 1,5","A0801"
"RC NORTE","BIF. RUBENA-AG. KM. 377,3","A1112"
"RC NORTE","AGUJA DE ENLACE","A1311"
"RC NOROESTE","KM. 449,1","A2031"
"RC NOROESTE","AGUJA KM. 545,4","A2045"
"RC NOROESTE","GUILLAREI-AG. KM. 141,6","A2220"
"RC NOROESTE","BIF. CHAPELA","A2230"
"RC NOROESTE","GUILLAREI-AG. KM. 0,9","A2240"
"RC NOROESTE","FAXIL-AG.KM. 36,095","A2300"
"RC CENTRO","HUMANES-AGUJA KM. 25,3","A3500"
"RED DE ALTA VELOCIDAD (RAV)","CIUDAD REAL-AGUJA KM. 174","A3710"
"RC SUR","ESPELUY-AGUJA KM. 338,8","A5030"
"RC SUR","ESPELUY-AGUJA KM. 340,1","A5031"
"RC SUR","ALCOLEA-AGUJA KM.431,9","A5040"
"RC SUR","AGUJA KM. 1,337","A5050"
"RC SUR","LA SALUD-AGUJA KM. 6,2","A5100"
"RC SUR","LA SALUD-AGUJA KM. 10,2","A5101"
"RC SUR","BENALMADENA-AGUJA KM. 19,0","A5450"
"RC CENTRO","AGUJA KM. 1.4","A6001"
"RC CENTRO","AGUJA KM. 1,8","A6002"
"RC CENTRO","AGUJA KM. 3,466","A6015"
"RC CENTRO","AGUJA KM. 146,1","A6031"
"RC ESTE","S.VICENTE RASPEIG-AGJ KM.448,7","A6090"
"RC ESTE","AGUJA KM. 523,2","A6131"
"RC ESTE","AGUJA KM. 0,8","A6141"
"RC ESTE","MOYRESA (CGD)","A6142"
"RC ESTE","EXOLUM (CGD)","A6144"
"RC ESTE","BUTANO S.A. (CGD)","A6210"
"RC NORESTE","AGUJA CLASIF. KM. 272,0.","A6541"
"RC CENTRO","AGUJA KM. 1.2","A7002"
"RC NORESTE","CALATAYUD-AGUJA KM. 246,1","A7060"
"RC NORESTE","CAMBIADOR PLASENCIA-AG.KM.308,6","A7070"
"RC NORESTE","CIM-AGUJA KM. 337,1","A7080"
"RC NORESTE","CIM-AGUJA KM. 0,7","A7081"
"RC NORESTE","LA CARTUJA-AGUJA KM. 23,3","A7083"
"RC NORESTE","BIF. PLAZA-AG.KM.8,9","A7086"
"RC NORESTE","BIF. PLAZA-AG.KM.1,4","A7087"
"RC NORESTE","LA CARTUJA-AGUJA KM. 351,1","A7110"
"RC NORESTE","MIRAFLORES-AGUJA KM. 345,6","A7111"
"RC NORESTE","AGUJA CLASIF. KM. 100,4.","A7141"
"RC NORESTE","REPSOL QUIMICA S.A. (CGD)","A7203"
"RC NORESTE","BIF. RUBI","A7221"
"RC NORESTE","AGUJA KM. 4,014","A7222"
"RC NORESTE","MOLLET-S.FOST AGUJA KM.23,2","A7223"
"RC NORESTE","BIF. PAPIOL","A7224"
"RC NORESTE","AGUJA KM. 70,449","A7225"
"RC NORESTE","AGUJA KM. 71,161","A7226"
"RC NORESTE","AGUJA KM. 0,500","A7227"
"RC NORESTE","AGUJA KM. 79,347","A7228"
"RC NORESTE","CAMBIADOR LLEIDA-AG. KM. 3,1","A7300"
"RC NORESTE","KM. 75.3","A7310"
"RC NORESTE","HOYA DE HUESCA-AGUJA KM. 2,3","A7400"
"RC NORESTE","PALOU (CGD)","A7701"
"RC NORESTE","KM. 21,4","A7702"
"RC NORESTE","KM. 152,1","A7830"
"RC NORESTE","MIRAFLORES-AGUJA KM. 0,9","A7890"
"RC CENTRO","FUENCARRAL-COMPLEJO","A9060"
"RC CENTRO","AGUJA KM. 5,7","A9101"
"RED DE ALTA VELOCIDAD (RAV)","BIF. ARCHIDONA","B0101"
"RC SUR","KM. 98.5","B0102"
"RC SUR","BIF. LAS MARAVILLAS","B0103"
"RED DE ALTA VELOCIDAD (RAV)","BIF. MALAGA-A. V.","B0200"
"RED DE ALTA VELOCIDAD (RAV)","BIF. MEDINA","B0740"
"RED DE ALTA VELOCIDAD (RAV)","RIO DUERO","B0800"
"RC NORTE","KM. 250.2","B0801"
"RED DE ALTA VELOCIDAD (RAV)","BIF. CAMBIADOR VALDESTILLAS","B0802"
"RED DE ALTA VELOCIDAD (RAV)","BIF. TORREJON DE VELASCO","B0900"
"RED DE ALTA VELOCIDAD (RAV)","BIF. O IRIXO","B0901"
"RC NOROESTE","BIF. RIO SAR","B0902"
"RC CENTRO","BIF. CHAMARTIN","B1005"
"RC NORTE","EL PINAR SUR","B1050"
"RC NORTE","BIF. LINEA MADRID-HENDAYA","B1051"
"RC NORTE","ARCAS REALES P.B.","B1052"
"RC NORTE","BIF. RIOJA","B1110"
"RC NORTE","BIF. ARANDA","B1111"
"RC NORTE","BIF. RUBENA","B1112"
"RC NORTE","BIF. KM.534,0","B1120"
"RC NORTE","BIF. LA CASILLA","B1320"
"RC NORTE","BIF. MAGAZ","B1400"
"RC NOROESTE","BIF. LEON-CLASIFICACION","B1501"
"RC NOROESTE","BIF. LEON","B1506"
"RC NOROESTE","BIF. RIO BERNESGA","B1507"
"RC NOROESTE","BIF. TORNEROS","B1508"
"RC NOROESTE","BIF. QUINTANA","B1509"
"RC NOROESTE","BIF. GALICIA","B1511"
"RC NOROESTE","BIF. TUDELA-VEGUIN","B1521"
"RC NOROESTE","BIF. OLLONIEGO","B1601"
"RC NOROESTE","BIF. PEÑA RUBIA","B1602"
"RC NOROESTE","BIF. VIELLA","B1611"
"RC CENTRO","BIF. FUENCARRAL","B1702"
"RC CENTRO","KM. 9.6","B1703"
"RC CENTRO","BIF. MUSEO","B1804"
"RC NOROESTE","BIF. ASTURIAS","B2001"
"RC NOROESTE","KM. 253,5","B2021"
"RC NOROESTE","BIF. EL BURGO","B2041"
"RC NOROESTE","BIF. SAN DIEGO","B2051"
"RC NOROESTE","BIF. SAN CRISTOBAL","B2052"
"RC NOROESTE","BIF. LA SERNA","B3001"
"RC SUR","MONFRAGÜE-AGUJA KM. 4,4","B3002"
"RC NOROESTE","BIF. UXES","B3141"
"RC NOROESTE","BIF. CERCEDA","B3142"
"RC SUR","MONFRAGÜE-AGUJA KM. 255,4","B3531"
"RC CENTRO","BIF. PARLA","B3700"
"RED DE ALTA VELOCIDAD (RAV)","LOS GAVILANES - AGUJA KM. 13,400","B3710"
"RED DE ALTA VELOCIDAD (RAV)","BIF.CAMBIADOR ALCOLEA","B3770"
"RC CENTRO","BIF. POBLETE","B4005"
"RED DE ALTA VELOCIDAD (RAV)","BIF. CAMBIADOR PLASENCIA DE JALON","B4015"
"RED DE ALTA VELOCIDAD (RAV)","BIF. MONCASI","B4030"
"RED DE ALTA VELOCIDAD (RAV)","BIF. HUESCA","B4041"
"RED DE ALTA VELOCIDAD (RAV)","BIF. CAMBIADOR MIRAFLORES","B4042"
"RED DE ALTA VELOCIDAD (RAV)","BIF. CANAL IMPERIAL","B4043"
"RED DE ALTA VELOCIDAD (RAV)","P. T. ZARAGOZA SUR","B4044"
"RED DE ALTA VELOCIDAD (RAV)","P. T. ZARAGOZA NORTE","B4045"
"RED DE ALTA VELOCIDAD (RAV)","BIF. LES TORRES DE SANUI","B4054"
"RED DE ALTA VELOCIDAD (RAV)","BIF. ARTESA DE LLEIDA","B4100"
"RED DE ALTA VELOCIDAD (RAV)","P.T. LLEIDA NORTE","B4101"
"RED DE ALTA VELOCIDAD (RAV)","BIF. CAMBIADOR PUIGVERD","B4102"
"RED DE ALTA VELOCIDAD (RAV)","CAMBIADOR DE LA BOELLA","B4103"
"RED DE ALTA VELOCIDAD (RAV)","BIF. CAN TUNIS-A. V.","B4104"
"RED DE ALTA VELOCIDAD (RAV)","BIF. MOLLET","B4300"
"RC SUR","BIF. CARTUJA","B4301"
"RC SUR","BIF. CORDOBA MERCANCIAS","B5052"
"RC SUR","BIF. SAN JERONIMO","B5073"
"RC SUR","BIF. LOS NARANJOS","B5101"
"RC SUR","BIF. TAMARGUILLO","B5102"
"RC SUR","BIF. UTRERA","B5103"
"RC SUR","BIF. LA NEGRILLA","B5109"
"RC SUR","BIF. S. BERNARDO","B5119"
"RC SUR","BIF. GRANADA","B5601"
"RC SUR","BIF. ALMERIA","B5701"
"RED DE ALTA VELOCIDAD (RAV)","BIF. CERRO NEGRO / STA. CATALINA","B6000"
"RED DE ALTA VELOCIDAD (RAV)","VALLECAS AV - AGUJA KM.12,300","B6001"
"RC CENTRO","BIF. PLANETARIO","B6002"
"RC ESTE","P. B. ARENALES","B6040"
"RC ESTE","LA ENCINA AGUJA KM. 2,963","B6091"
"RC ESTE","BIF. VALLADA","B6401"
"RC ESTE","XATIVA-AGUJA KM.47,0","B6402"
"RC ESTE","BIF. PUERTO CABANYAL","B6500"
"RC ESTE","VFSL-AG.KM.5,8","B6501"
"RC ESTE","BIF. GRAO VALENCIA","B6502"
"RC ESTE","BIF. NAZARET","B6504"
"RC ESTE","BIF. PUERTO FSL","B6505"
"RC ESTE","BIF. CALAFAT","B6541"
"RC ESTE","SAGUNT-AGUJA KM. 268,8.","B6722"
"RC ESTE","SAGUNT-AGUJA KM. 32.3","B6731"
"RC CENTRO","BIF. BASE AEREA","B7011"
"RC NORESTE","BIF. TERUEL","B7081"
"RC NORESTE","BIF. PLAZA","B7082"
"RC NORESTE","KM 671,9","B7171"
"RC NORESTE","BELLVITGE AGUJA KM.674,8","B7173"
"RC NORESTE","BIF. ARAGO","B7181"
"RC NORESTE","BIF. CLOT","B7182"
"RC NORESTE","BIF. GLORIAS","B7184"
"RC NORESTE","BIF. LLOBREGAT","B7192"
"RC NORESTE","CAN TUNIS AGUJA KM. 18,3","B7193"
"RC NORESTE","BIF. A VILANOVETA","B7511"
"RC NORESTE","BIF. CANFRANC","B7800"
"RC NORESTE","BIF. HOYA DE HUESCA","B7801"
"RED DE ALTA VELOCIDAD (RAV)","BIF. CAMBIADOR LLEIDA","B7840"
"RC NORESTE","BIF. AIGÜES","B7901"
"RC NORESTE","BIF. GIRONA MERCADERIES","B7920"
"RC NORESTE","KM. 3,278","B7941"
"RC NORESTE","KM. 2,778","B7942"
"RC NORESTE","BIF. SAGRERA-AG.KM. 108,0","B7943"
"RC NORTE","BIF. KM.231,5","B8000"
"RC NORTE","BIF. CASTILLA","B8100"
"RC NORTE","BIF. VILLALONQUEJAR","B8221"
"RC CENTRO","BIF. DE VALCORBA","B8301"
"RC NORESTE","BIF. VILANOVA","B8801"
"RC CENTRO","BIF. REBOLLEDO","B9521"
"RC CENTRO","BIF. P. PIO","B9701"
"RC CENTRO","BIF. HORTALEZA","B9800"
"RC CENTRO","BIF. VICALVARO-MERCANCIAS","B9811"
"RC SUR","KM. 56.4","C0001"
"RC SUR","KM. 69.1","C0004"
"RED DE ALTA VELOCIDAD (RAV)","KM. 0,154","C0200"
"RED DE ALTA VELOCIDAD (RAV)","KM. 0,804","C0201"
"RED DE ALTA VELOCIDAD (RAV)","KM. 2,145","C0202"
"RED DE ALTA VELOCIDAD (RAV)","KM. 2,144","C0203"
"RED DE ALTA VELOCIDAD (RAV)","KM. 3,717","C0204"
"RED DE ALTA VELOCIDAD (RAV)","KM. 5,099","C0205"
"RED DE ALTA VELOCIDAD (RAV)","KM. 5,158","C0206"
"RED DE ALTA VELOCIDAD (RAV)","B. N. TUNEL ABDALAJIS","C0207"
"RED DE ALTA VELOCIDAD (RAV)","KM. 138,523","C0208"
"RED DE ALTA VELOCIDAD (RAV)","KM. 141,091","C0209"
"RED DE ALTA VELOCIDAD (RAV)","B. S. TUNEL ABDALAJIS","C0210"
"RED DE ALTA VELOCIDAD (RAV)","KM. 148,045","C0211"
"RC SUR","KM 149.511","C0212"
"RC SUR","KM 153.670","C0213"
"RED DE ALTA VELOCIDAD (RAV)","KM 134.466","C0214"
"RC SUR","KM 150.206","C0215"
"RED DE ALTA VELOCIDAD (RAV)","KM. 17.3","C0216"
"RED DE ALTA VELOCIDAD (RAV)","KM. 25.8","C0217"
"RED DE ALTA VELOCIDAD (RAV)","KM. 51.8","C0218"
"RED DE ALTA VELOCIDAD (RAV)","KM. 81.867","C0219"
"RED DE ALTA VELOCIDAD (RAV)","KM. 583,639","C0420"
"","KM 585,737","C0421"
"","KM 588,684","C0422"
"RED DE ALTA VELOCIDAD (RAV)","KM. 591,865","C0423"
"RED DE ALTA VELOCIDAD (RAV)","KM. 607,225","C0424"
"RED DE ALTA VELOCIDAD (RAV)","KM. 614,997","C0425"
"RED DE ALTA VELOCIDAD (RAV)","KM. 618,069","C0426"
"RED DE ALTA VELOCIDAD (RAV)","KM. 604,166","C0427"
"RED DE ALTA VELOCIDAD (RAV)","KM. 482.6","C0428"
"RC SUR","BOCA NORTE TUNEL S.FRANCISCO","C0501"
"RC ESTE","KM. 18,1","C0700"
"RED DE ALTA VELOCIDAD (RAV)","TRAMO METALICO RIO ADAJA","C0742"
"RED DE ALTA VELOCIDAD (RAV)","KM. 8,254","C0801"
"RED DE ALTA VELOCIDAD (RAV)","KM. 12,428","C0802"
"RED DE ALTA VELOCIDAD (RAV)","KM. 14,623","C0803"
"RED DE ALTA VELOCIDAD (RAV)","KM. 21,048","C0804"
"RED DE ALTA VELOCIDAD (RAV)","B.S. TUNEL SAN PEDRO","C0805"
"RED DE ALTA VELOCIDAD (RAV)","B.N. TUNEL SAN PEDRO","C0806"
"RED DE ALTA VELOCIDAD (RAV)","KM. 32,565","C0807"
"RED DE ALTA VELOCIDAD (RAV)","B.S. TUNEL GUADARRAMA","C0808"
"RED DE ALTA VELOCIDAD (RAV)","KM. 51.9","C0809"
"RED DE ALTA VELOCIDAD (RAV)","B.N. TUNEL GUADARRAMA","C0810"
"RED DE ALTA VELOCIDAD (RAV)","KM. 178,061","C0811"
"RED DE ALTA VELOCIDAD (RAV)","KM. 126.7","C0812"
"RED DE ALTA VELOCIDAD (RAV)","KM. 35,564","C0900"
"RED DE ALTA VELOCIDAD (RAV)","KM. 46,714","C0901"
"RED DE ALTA VELOCIDAD (RAV)","KM. 49,554","C0902"
"RED DE ALTA VELOCIDAD (RAV)","KM. 51,492","C0903"
"RED DE ALTA VELOCIDAD (RAV)","KM. 56,664","C0904"
"RED DE ALTA VELOCIDAD (RAV)","KM. 63,147","C0905"
"RED DE ALTA VELOCIDAD (RAV)","KM 67,257","C0906"
"RED DE ALTA VELOCIDAD (RAV)","KM 71,288","C0907"
"RED DE ALTA VELOCIDAD (RAV)","KM 77,354","C0908"
"RED DE ALTA VELOCIDAD (RAV)","KM 79,728","C0909"
"RED DE ALTA VELOCIDAD (RAV)","KM 172,387","C0910"
"RED DE ALTA VELOCIDAD (RAV)","KM 175,663","C0911"
"RED DE ALTA VELOCIDAD (RAV)","KM. 249,352","C0912"
"RED DE ALTA VELOCIDAD (RAV)","KM. 254,373","C0913"
"RED DE ALTA VELOCIDAD (RAV)","KM. 284,123","C0914"
