"Código","Longitud","Latitud"
"A0180","-3,675992","40,3863"
"A0300","-3,812033","37,995773"
"A0426","-4,72908","37,080373"
"A0427","-4,7211","37,062286"
"A0660","2,115491","41,343752"
"A0720","-3,678504","40,494678"
"A0740","",""
"A0741","",""
"A0742","",""
"A0800","",""
"A0801","-3,678094","40,480426"
"A1112","-3,621114","42,374014"
"A1311","-2,931338","43,251401"
"A2031","",""
"A2045","-8,387354","43,351622"
"A2220","-8,621203","42,075071"
"A2230","-8,664902","42,279767"
"A2240","-8,629099","42,068815"
"A2300","",""
"A3500","-3,84553","40,237206"
"A3710","-3,917348","38,957985"
"A5030","-3,808388","38,002153"
"A5031","-3,822784","38,006527"
"A5040","-4,687685","37,926491"
"A5050","-4,835881","37,871511"
"A5100","-5,966505","37,340611"
"A5101","-5,959324","37,340254"
"A5450","-4,530743","36,600799"
"A6001","",""
"A6002","",""
"A6015","",""
"A6031","-3,21945","39,409403"
"A6090","-0,528951","38,382588"
"A6131","-0,973348","37,614664"
"A6141","-0,96422","37,613375"
"A6142","-0,955153","37,613714"
"A6144","-0,914386","37,599595"
"A6210","-0,531842","38,300219"
"A6541","1,21133","41,107919"
"A7002","-3,674489","40,396908"
"A7060","-1,62506","41,354063"
"A7070","-1,216644","41,705401"
"A7080","-0,93147","41,670161"
"A7081","-0,938552","41,670076"
"A7083","-0,815829","41,594032"
"A7086","-0,985493","41,623036"
"A7087","-1,009172","41,633249"
"A7110","-0,802818","41,595713"
"A7111","-0,855207","41,623583"
"A7141","1,217423","41,110992"
"A7203","",""
"A7221","",""
"A7222","",""
"A7223","",""
"A7224","",""
"A7225","1,899141","41,465495"
"A7226","1,906445","41,467858"
"A7227","1,901278","41,469244"
"A7228","",""
"A7300","",""
"A7310","",""
"A7400","-0,434785","42,098399"
"A7701","2,272266","41,588047"
"A7702","",""
"A7830","",""
"A7890","-0,857044","41,629961"
"A9060","-3,676581","40,485334"
"A9101","",""
"B0101","-4,446188","37,107414"
"B0102","-4,81576","37,177734"
"B0103","-4,694772","37,043758"
"B0200","-4,941639","37,839899"
"B0740","-4,680824","41,273538"
"B0800","-4,761095","41,550089"
"B0801","",""
"B0802","-4,784792","41,475877"
"B0900","-3,749181","40,208062"
"B0901","",""
"B0902","-8,551307","42,856964"
"B1005","-3,871898","40,500854"
"B1050","",""
"B1051","-4,733328","41,638531"
"B1052","-4,75082","41,596689"
"B1110","-2,963741","42,684295"
"B1111","-3,787817","42,346274"
"B1112","-3,587733","42,382817"
"B1120","-2,187381","42,882913"
"B1320","-2,951406","43,263567"
"B1400","",""
"B1501","",""
"B1506","-5,605448","42,556703"
"B1507","-5,575796","42,549635"
"B1508","-5,594755","42,560344"
"B1509","-5,58045","42,564026"
"B1511","-5,599483","42,597986"
"B1521","-5,835693","43,298996"
"B1601","-5,834818","43,305469"
"B1602","-5,762781","43,33434"
"B1611","-5,766379","43,336859"
"B1702","-3,684595","40,518301"
"B1703","",""
