RI;RF;Ámbito;Subdirección;AM
0;999;LD;;
1000;1999;LD;;
2000;5999;AV;;
6000;7999;AV;;
8000;9999;AV;;
10000;11999;LD;;
12000;18999;MD;;
19000;19499;AV;;
19500;21999;Cercanías;CENTRO;
22000;22999;Cercanías;NOROESTE;
23000;23999;Cercanías;SUR;
24000;24999;Cercanías;ESTE;
25000;25999;Cercanías;NORESTE;
26000;26999;Cercanías;NORTE;
27000;27999;Cercanías;CENTRO;
28000;28999;Cercanías;NORESTE;
29000;29999;Cercanías;NORTE;
30000;30499;LD;;
30500;30999;MD;;
31000;32999;Cercanías;;
33000;34999;MD;;
35000;36499;Cercanías;;
36500;36999;MD;;
37000;39999;Otro;;
40000;49999;Mercancias;;
50000;50999;Mercancias;;
51000;51999;Mercancias;CENTRO;
52000;52999;Mercancias;NOROESTE;
53000;53999;Mercancias;SUR;
54000;54999;Mercancias;ESTE;
55000;55999;Mercancias;Noreste;
56000;56999;Mercancias;Norte;
57000;57599;Mercancias;;True
57600;57999;Mercancias;;True
58000;59000;Mercancias;;
60000;60999;Mercancias;;
61000;61999;Mercancias;CENTRO;
62000;62999;Mercancias;NOROESTE;
63000;63999;Mercancias;SUR;
64000;64999;Mercancias;ESTE;
65000;65999;Mercancias;Noreste;
66000;66999;Mercancias;Norte;
67000;67599;Mercancias;;True
67600;67999;Mercancias;;True
68000;69999;Mercancias;;True
70000;71099;Cercanías;NOROESTE;True
71100;71599;Cercanías;NORTE;True
71600;71799;Cercanías;ESTE;True
71800;71999;MD;;
72000;72099;Cercanías;;True
72100;72199;MD;;
72200;72499;Cercanías;;True
72500;72799;MD;;
72800;72999;LD;;True
73000;74999;;;True
75000;75999;Cercanías;CENTRO;
76000;77999;Cercanías;;
78000;79999;Otro;;
80000;89999;Otro;;
90000;97999;Otro;;
98000;99999;Otro;;
